"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"fastmachinelearning/hls4ml","https://github.com/fastmachinelearning/hls4ml","hls4ml","fastmachinelearning","Machine learning on FPGAs using HLS","Python","Apache-2.0","Apache License 2.0","true",2121,489,"10/25/17 21:43","9/2/26 20:10","10/25/17 21:43","9/2/26 20:09",106.21,"machine-learning","true","true"
"salu133445/musegan","https://github.com/salu133445/musegan","musegan","salu133445","An AI for Music Generation","Python","MIT","MIT License","true",2040,130,"9/13/17 3:52","9/1/26 7:16","9/13/17 4:00","6/7/24 10:22",80.78,"machine-learning","true","true"
"lucasb-eyer/pydensecrf","https://github.com/lucasb-eyer/pydensecrf","pydensecrf","lucasb-eyer","Python wrapper to Philipp Krähenbühl's dense (fully connected) CRFs with gaussian edge potentials.","C++","MIT","MIT License","true",2021,110,"11/13/15 18:15","8/30/26 13:57","11/13/15 18:15","3/5/24 8:38",99.67,"machine-learning","true","true"
"patrikhuber/eos","https://github.com/patrikhuber/eos","eos","patrikhuber","A lightweight 3D Morphable Face Model library in modern C++","C++","Apache-2.0","Apache License 2.0","true",1980,313,"2/10/15 16:09","9/1/26 14:12","2/10/15 12:20","2/2/25 22:28",119.74,"machine-learning","true","true"
"trevorstephens/gplearn","https://github.com/trevorstephens/gplearn","gplearn","trevorstephens","Genetic Programming in Python, with a scikit-learn inspired API","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1881,218,"3/26/15 1:01","9/2/26 6:12","3/26/15 1:01","1/10/26 21:16",129.53,"machine-learning","true","true"
"byzer-org/byzer-lang","https://github.com/byzer-org/byzer-lang","byzer-lang","byzer-org","Byzer (former MLSQL): A low-code open-source programming language for data pipeline, analytics and AI.","Scala","Apache-2.0","Apache License 2.0","true",1835,588,"4/28/16 7:06","8/26/26 14:39","4/28/16 7:04","5/29/24 8:23",97.01,"machine-learning","true","true"
"mlcommons/training","https://github.com/mlcommons/training","training","mlcommons","Reference implementations of MLPerf® training benchmarks","Python","Apache-2.0","Apache License 2.0","true",1771,375,"3/29/18 21:56","9/2/26 8:32","3/29/18 21:56","8/17/26 21:06",100.59,"machine-learning","true","true"
"VertaAI/modeldb","https://github.com/VertaAI/modeldb","modeldb","VertaAI","Open Source ML Model Versioning, Metadata, and Experiment Management","Java","Apache-2.0","Apache License 2.0","true",1749,141,"10/19/16 1:07","8/8/26 4:08","10/19/16 1:12","4/25/24 14:35",90.18,"machine-learning","true","true"
"alkaline-ml/pmdarima","https://github.com/alkaline-ml/pmdarima","pmdarima","alkaline-ml","A statistical library designed to fill the void in Python's time series analysis capabilities, including the equivalent of R's auto.arima function.","Python","MIT","MIT License","true",1734,342,"3/30/17 14:58","8/27/26 11:23","3/30/17 14:58","11/17/25 14:58",103.61,"machine-learning","true","true"
"kubeflow/katib","https://github.com/kubeflow/katib","katib","kubeflow","Automated Machine Learning on Kubernetes","Python","Apache-2.0","Apache License 2.0","true",1699,993,"4/3/18 17:07","8/31/26 22:14","4/3/18 17:07","7/16/26 14:37",99.38,"machine-learning","true","true"
"BindsNET/bindsnet","https://github.com/BindsNET/bindsnet","bindsnet","BindsNET","Simulation of spiking neural networks (SNNs) using PyTorch.","Python","AGPL-3.0","GNU Affero General Public License v3.0","true",1695,242,"2/9/18 19:42","9/2/26 23:41","2/9/18 19:42","9/2/26 23:39",102.73,"machine-learning","true","true"
"explosion/sense2vec","https://github.com/explosion/sense2vec","sense2vec","explosion","🦆 Contextually-keyed word vectors","Python","MIT","MIT License","true",1680,115,"1/23/16 22:15","8/27/26 14:56","1/23/16 22:07","3/27/26 7:50",122.04,"machine-learning","true","true"
"skrub-data/skrub","https://github.com/skrub-data/skrub","skrub","skrub-data","Machine learning with dataframes","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1651,702,"3/12/18 23:32","9/1/26 15:00","3/12/18 23:32","9/1/26 14:31",101.64,"machine-learning","true","true"
"datamade/usaddress","https://github.com/datamade/usaddress","usaddress","datamade",":us: a python library for parsing unstructured United States address strings into address components","Python","MIT","MIT License","true",1637,354,"7/17/14 19:22","9/2/26 15:39","6/19/14 21:25","8/7/25 14:50",133.57,"machine-learning","true","true"
"JustGlowing/minisom","https://github.com/JustGlowing/minisom","minisom","JustGlowing",":red_circle: MiniSom is a minimalistic implementation of the Self Organizing Maps","Python","MIT","MIT License","true",1602,151,"7/3/13 10:10","8/28/26 8:57","7/3/13 10:10","6/9/26 10:41",155.19,"machine-learning","true","true"
"hi-primus/optimus","https://github.com/hi-primus/optimus","optimus","hi-primus",":truck: Agile Data Preparation Workflows made easy with Pandas, Dask, cuDF, Dask-cuDF, Vaex and PySpark","Python","Apache-2.0","Apache License 2.0","true",1536,219,"7/13/17 2:31","8/14/26 13:12","7/13/17 2:31","5/19/23 4:31",70.17,"machine-learning","true","true"
"o19s/elasticsearch-learning-to-rank","https://github.com/o19s/elasticsearch-learning-to-rank","elasticsearch-learning-to-rank","o19s","Plugin to integrate Learning to Rank (aka machine learning for better relevance) with Elasticsearch","Java","Apache-2.0","Apache License 2.0","true",1521,271,"12/25/16 3:19","8/20/26 20:57","12/25/16 3:17","6/16/26 6:17",113.67,"machine-learning","true","true"
"ModelOriented/DALEX","https://github.com/ModelOriented/DALEX","DALEX","ModelOriented","moDel Agnostic Language for Exploration and eXplanation","Python","GPL-3.0","GNU General Public License v3.0","true",1485,414,"2/18/18 3:24","8/23/26 1:28","2/18/18 3:24","7/15/26 11:00",100.82,"machine-learning","true","true"
"scikit-learn-contrib/metric-learn","https://github.com/scikit-learn-contrib/metric-learn","metric-learn","scikit-learn-contrib","Metric learning algorithms in Python","Python","MIT","MIT License","true",1438,165,"11/2/13 8:29","7/24/26 20:34","11/2/13 8:29","3/19/26 21:11",148.49,"machine-learning","true","true"
"qupath/qupath","https://github.com/qupath/qupath","qupath","qupath","QuPath - Open-source bioimage analysis for research","Java","GPL-3.0","GNU General Public License v3.0","true",1433,926,"8/28/16 14:31","9/2/26 14:42","8/28/16 14:31","9/1/26 12:37",120.07,"machine-learning","true","true"
"GoogleCloudPlatform/data-science-on-gcp","https://github.com/GoogleCloudPlatform/data-science-on-gcp","data-science-on-gcp","GoogleCloudPlatform","Source code accompanying book: Data Science on the Google Cloud Platform, Valliappa Lakshmanan, O'Reilly 2017","Jupyter Notebook","Apache-2.0","Apache License 2.0","true",1429,104,"2/10/17 16:46","8/31/26 17:39","6/7/16 3:09","12/20/22 14:54",78.42,"machine-learning","true","true"
"nilearn/nilearn","https://github.com/nilearn/nilearn","nilearn","nilearn","Machine learning for NeuroImaging in Python","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1427,2584,"1/9/11 19:02","9/2/26 11:41","1/9/11 19:22","9/2/26 11:37",187.71,"machine-learning","true","true"
"ljvmiranda921/pyswarms","https://github.com/ljvmiranda921/pyswarms","pyswarms","ljvmiranda921","A research toolkit for particle swarm optimization in Python ","Python","MIT","MIT License","true",1393,233,"7/12/17 12:04","8/12/26 18:36","7/12/17 12:05","6/6/23 9:46",70.76,"machine-learning","true","true"
"owlbarn/owl","https://github.com/owlbarn/owl","owl","owlbarn","Owl - OCaml Scientific Computing @ https://ocaml.xyz","OCaml","MIT","MIT License","true",1351,303,"6/20/16 20:47","8/22/26 22:59","6/20/16 20:47","8/5/26 9:03",121.45,"machine-learning","true","true"
"sebp/scikit-survival","https://github.com/sebp/scikit-survival","scikit-survival","sebp","Survival analysis built on top of scikit-learn","Python","GPL-3.0","GNU General Public License v3.0","true",1320,254,"12/26/16 22:15","8/30/26 17:33","6/8/15 19:46","8/30/26 17:31",134.69,"machine-learning","true","true"
