"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"burhanrashid52/PhotoEditor","https://github.com/burhanrashid52/PhotoEditor","PhotoEditor","burhanrashid52","A Photo Editor library with simple, easy support for image editing using paints,text,filters,emoji and Sticker like stories.","Kotlin","MIT","MIT License","true",4513,416,"2018-01-23T11:44:10Z","2026-09-25T13:18:23Z","2018-01-12T09:23:17Z","2026-09-17T11:43:53Z",104.14,"image-processing","true","true"
"pmndrs/postprocessing","https://github.com/pmndrs/postprocessing","postprocessing","pmndrs","A post processing library for three.js.","JavaScript","Zlib","zlib License","true",2864,453,"2015-12-08T13:20:11Z","2026-09-25T12:02:31Z","2015-12-08T12:50:58Z","2026-09-09T19:35:45Z",129.05,"image-processing","true","true"
"weserv/images","https://github.com/weserv/images","images","weserv","Source code of wsrv.nl (formerly images.weserv.nl), to be used on your own server(s).","C++","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2825,451,"2015-03-15T13:08:31Z","2026-09-24T15:45:25Z","2013-10-06T15:44:03Z","2026-09-01T11:38:16Z",154.82,"image-processing","true","true"
"PyWavelets/pywt","https://github.com/PyWavelets/pywt","pywt","PyWavelets","PyWavelets - Wavelet Transforms in Python","Python","MIT","MIT License","true",2402,367,"2013-07-22T20:10:04Z","2026-09-25T16:18:01Z","2006-07-07T14:01:29Z","2026-09-17T22:04:14Z",242.36,"image-processing","true","true"
"indulgeIn/YBImageBrowser","https://github.com/indulgeIn/YBImageBrowser","YBImageBrowser","indulgeIn","iOS image browser / iOS 图片浏览器 (支持视频) ","Objective-C","MIT","MIT License","true",2394,350,"2018-04-10T08:14:51Z","2026-09-16T01:34:37Z","2018-04-10T08:14:51Z","2022-09-15T04:58:31Z",53.18,"image-processing","true","true"
"AcademySoftwareFoundation/OpenImageIO","https://github.com/AcademySoftwareFoundation/OpenImageIO","OpenImageIO","AcademySoftwareFoundation","Reading, writing, and processing images in a wide variety of file formats, using a format-agnostic API, aimed at VFX applications.","C++","Apache-2.0","Apache License 2.0","true",2370,1055,"2011-02-02T23:03:28Z","2026-09-26T01:10:47Z","2008-04-21T20:46:21Z","2026-09-26T01:10:41Z",221.13,"image-processing","true","true"
"MetalPetal/MetalPetal","https://github.com/MetalPetal/MetalPetal","MetalPetal","MetalPetal","A GPU accelerated image and video processing framework built on Metal.","Objective-C","MIT","MIT License","true",2189,351,"2017-06-25T03:34:26Z","2026-09-21T03:55:21Z","2017-06-25T03:34:26Z","2023-02-21T03:47:14Z",67.9,"image-processing","true","true"
"pqina/vue-filepond","https://github.com/pqina/vue-filepond","vue-filepond","pqina","🔌 A handy FilePond adapter component for Vue","JavaScript","MIT","MIT License","true",2002,228,"2018-03-22T14:28:51Z","2026-09-03T09:41:48Z","2018-03-22T14:30:05Z","2026-07-13T11:37:56Z",99.7,"image-processing","true","true"
"pqina/react-filepond","https://github.com/pqina/react-filepond","react-filepond","pqina","🔌 A handy FilePond adapter component for React","JavaScript","MIT","MIT License","true",1987,206,"2018-03-08T14:52:44Z","2026-09-16T18:58:58Z","2018-03-08T14:52:45Z","2026-07-13T11:37:47Z",100.16,"image-processing","true","true"
"wysaid/android-gpuimage-plus","https://github.com/wysaid/android-gpuimage-plus","android-gpuimage-plus","wysaid","Android Image & Camera Filters Based on OpenGL. ","C","MIT","MIT License","true",1932,520,"2015-11-20T07:47:36Z","2026-09-24T12:48:26Z","2015-07-03T06:54:16Z","2026-07-28T15:30:51Z",132.83,"image-processing","true","true"
"AcademySoftwareFoundation/openexr","https://github.com/AcademySoftwareFoundation/openexr","openexr","AcademySoftwareFoundation","The OpenEXR project provides the specification and reference implementation of the EXR file format, the professional-grade image storage format of the motion picture industry.","C","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",1854,717,"2012-02-24T06:30:00Z","2026-09-23T21:47:43Z","2003-01-21T06:34:28Z","2026-09-23T14:35:37Z",284.05,"image-processing","true","true"
"davidbyttow/govips","https://github.com/davidbyttow/govips","govips","davidbyttow","A lightning fast image processing and resizing library for Go","Go","MIT","MIT License","true",1671,233,"2016-12-25T04:32:56Z","2026-09-25T13:12:37Z","2016-12-25T08:18:54Z","2026-09-20T17:46:50Z",116.83,"image-processing","true","true"
"4lex4/scantailor-advanced","https://github.com/4lex4/scantailor-advanced","scantailor-advanced","4lex4","ScanTailor Advanced is the version that merges the features of the ScanTailor Featured and ScanTailor Enhanced versions, brings new ones and fixes.","C++","GPL-3.0","GNU General Public License v3.0","true",1555,190,"2017-10-12T20:56:34Z","2026-09-25T13:54:40Z","2016-02-04T08:27:24Z","2020-05-31T10:57:02Z",51.84,"image-processing","true","true"
"MattKetmo/darkroomjs","https://github.com/MattKetmo/darkroomjs","darkroomjs","MattKetmo","Extensible image editing tool in your browser","JavaScript","MIT","MIT License","true",1463,101,"2013-11-02T11:19:20Z","2026-09-15T18:07:08Z","2013-10-29T22:40:34Z","2024-03-24T07:04:06Z",124.78,"image-processing","true","true"
"claviska/SimpleImage","https://github.com/claviska/SimpleImage","SimpleImage","claviska","A PHP class that makes working with images and GD as simple as possible.","PHP","MIT","MIT License","true",1388,231,"2011-11-16T02:21:47Z","2026-07-21T20:36:22Z","2011-11-16T02:29:17Z","2025-11-20T16:58:37Z",168.15,"image-processing","true","true"
